feature,importance_mean,importance_std,rank,relative_contribution,feature_family
revenue_per_usage,0.058133333333333335,0.003983298465677241,1,0.058133333333333335,Existing
months,0.055733333333333336,0.003451247761478609,2,0.055733333333333336,Existing
totmrc_Mean,0.0504,0.004258325179379016,3,0.0504,Existing
mou_Mean_log,0.05026666666666667,0.0030037014202850157,4,0.05026666666666667,Existing
change_mou,0.038,0.0031972210155418123,5,0.038,Existing
crclscod,0.03573333333333333,0.003148191720831357,6,0.03573333333333333,Existing
hnd_price,0.035333333333333335,0.0019436506316151002,7,0.035333333333333335,Existing
usage_to_charge,0.0312,0.0016599866130651653,8,0.0312,Existing
change_mou_capped,0.029599999999999998,0.003515047020390418,9,0.029599999999999998,Existing
eqpdays,0.029599999999999998,0.0022410315085295467,10,0.029599999999999998,Existing
mou_cvce_Mean_log,0.027066666666666666,0.006808491430232952,11,0.027066666666666666,Existing
usage_per_month,0.0268,0.004038701661562921,12,0.0268,V2 Engineered
lor,0.023733333333333335,0.0015347819244295115,13,0.023733333333333335,Existing
trend_gap,0.02213333333333333,0.0027648588471103643,14,0.02213333333333333,Existing
change_mou_log,0.020933333333333335,0.005219621101616903,15,0.020933333333333335,Existing
avgqty,0.019866666666666664,0.004580150409951379,16,0.019866666666666664,Existing
ethnic,0.019733333333333332,0.0022410315085295476,17,0.019733333333333332,Existing
uniqsubs,0.018533333333333336,0.0016599866130651653,18,0.018533333333333336,Existing
change_mou_missing_ind,0.017599999999999998,0.0029287843515318403,19,0.017599999999999998,Existing
change_rev,0.016533333333333334,0.0031763011332190923,20,0.016533333333333334,Existing
totcalls,0.01626666666666667,0.002564717874889513,21,0.01626666666666667,Existing
drop_rate,0.016,0.003681787005729086,22,0.016,V2 Engineered
months_log,0.015733333333333332,0.0019206480387850566,23,0.015733333333333332,Existing
revenue_per_month,0.014933333333333331,0.001011050059206873,24,0.014933333333333331,V2 Engineered
mouiwylisv_Mean,0.014666666666666666,0.0022607766610417564,25,0.014666666666666666,Existing
asl_flag,0.013866666666666666,0.0012823589374447557,26,0.013866666666666666,Existing
totmrc_Mean_log,0.0128,0.002556038601690775,27,0.0128,Existing
ovrmou_Mean_capped,0.012266666666666667,0.0018012341448141727,28,0.012266666666666667,Existing
vceovr_Mean,0.011733333333333333,0.0016055459438389728,29,0.011733333333333333,Existing
adjrev_log,0.011466666666666667,0.002022100118413746,30,0.011466666666666667,Existing
change_rev_capped,0.010933333333333333,0.001211060141638996,31,0.010933333333333333,Existing
drop_vce_Mean,0.010666666666666668,0.0024944382578492947,32,0.010666666666666668,Existing
avgrev,0.010533333333333334,0.0020763215336529915,33,0.010533333333333334,Existing
avgmou_log,0.010133333333333333,0.0016599866130651644,34,0.010133333333333333,Existing
change_rev_log,0.009600000000000001,0.001920648038785057,35,0.009600000000000001,Existing
eqpdays_log,0.009466666666666667,0.001520233900132185,36,0.009466666666666667,Existing
ovrrev_Mean_log,0.0092,0.004093355048802333,37,0.0092,Existing
area,0.008933333333333333,0.0041257995858042145,38,0.008933333333333333,Existing
iwylis_vce_Mean,0.008933333333333333,0.0014605934866804427,39,0.008933333333333333,Existing
rev_Mean_log,0.008666666666666666,0.0020548046676563255,40,0.008666666666666666,Existing
block_rate,0.008533333333333334,0.0026415483674878597,41,0.008533333333333334,V2 Engineered
hnd_webcap,0.008133333333333334,0.000988826464946088,42,0.008133333333333334,Existing
phones_per_year,0.007200000000000001,0.0019663841605003503,43,0.007200000000000001,V2 Engineered
model_changes_per_year,0.007066666666666667,0.0003651483716701106,44,0.007066666666666667,V2 Engineered
roam_Mean,0.006,0.0026246692913372703,45,0.006,Existing
drop_blk_Mean,0.005866666666666667,0.0019663841605003503,46,0.005866666666666667,Existing
service_issue_score,0.0056,0.0013824294235551815,47,0.0056,Existing
dwllsize,0.0054666666666666665,0.002599145158615724,48,0.0054666666666666665,Existing
complaints_per_call,0.005333333333333334,0.001885618083164127,49,0.005333333333333334,V2 Engineered
income,0.005200000000000001,0.001192569587999888,50,0.005200000000000001,Existing
actvsubs,0.005200000000000001,0.0015202339001321842,51,0.005200000000000001,Existing
avgqty_log,0.005200000000000001,0.0017256238807393048,52,0.005200000000000001,Existing
HHstatin_missing_ind,0.005066666666666666,0.001920648038785058,53,0.005066666666666666,Existing
marital,0.004933333333333333,0.0018012341448141729,54,0.004933333333333333,Existing
change_mou_pct,0.004933333333333333,0.0015347819244295117,55,0.004933333333333333,V2 Engineered
refurb_new,0.004933333333333333,0.0008944271909999158,56,0.004933333333333333,Existing
revenue_gap,0.0048000000000000004,0.002280350850198276,57,0.0048000000000000004,Existing
dwlltype,0.0048000000000000004,0.001659986613065164,58,0.0048000000000000004,Existing
support_to_usage_ratio,0.004266666666666667,0.001211060141638997,59,0.004266666666666667,V2 Engineered
change_rev_missing_ind,0.0041333333333333335,0.0008692269873603529,60,0.0041333333333333335,Existing
vceovr_Mean_capped,0.0037333333333333337,0.0018618986725025255,61,0.0037333333333333337,Existing
support_intensity,0.0036000000000000003,0.0010110500592068732,62,0.0036000000000000003,Existing
avgrev_log,0.003333333333333333,0.001699673171197595,63,0.003333333333333333,Existing
uniqsubs_log,0.0030666666666666663,0.0016055459438389728,64,0.0030666666666666663,Existing
custcare_Mean,0.0026666666666666666,0.0012472191289246471,65,0.0026666666666666666,Existing
change_rev_pct,0.002,0.0010540925533894599,66,0.002,V2 Engineered
HHstatin,0.0018666666666666664,0.0008692269873603532,67,0.0018666666666666664,Existing
dualband,0.0016,0.0007601169500660919,68,0.0016,Existing
drop_vce_Mean_log,0.0012000000000000001,0.0007302967433402215,69,0.0012000000000000001,Existing
phones,0.0002666666666666667,0.00036514837167011074,70,0.0002666666666666667,Existing
actvsubs_log,0.0002666666666666667,0.00036514837167011074,71,0.0002666666666666667,Existing
