feature,gain_importance_mean,gain_importance_std,split_importance_mean,split_importance_std,perm_importance_mean,perm_importance_std,gain_importance_norm_mean,split_importance_norm_mean,perm_importance_norm_mean,validation_roc_auc_mean,feature_family,consolidated_score,consolidated_rank,gain_rank,split_rank,perm_rank,is_zero_importance,is_near_zero_importance,importance_bucket
months,8488.277160644531,152.12045051096106,103.4,10.358571330062848,0.02647254427608637,0.008998269305834401,0.12019447979528493,0.06893333333333333,0.16912494608397233,0.687002344113593,Original Features,0.11941758640419686,1,2,1,1,False,False,signal
eqpdays,12139.36183719635,311.0340355943788,37.0,3.0000000000000004,0.024914951444400334,0.005882783108004134,0.17190542913557438,0.024666666666666667,0.15917288113948141,0.687002344113593,Original Features,0.11858165898057416,2,1,12,2,False,False,signal
hnd_price,2470.891499710083,252.90300797250535,51.0,6.363961030678928,0.012390603638894732,0.004943238967166886,0.034991098366659715,0.033999999999999996,0.079797584210036,0.687002344113593,Original Features,0.04959622752556523,3,6,4,3,False,False,signal
revenue_per_usage,2641.1856189727782,228.5481040172459,72.0,5.244044240850757,0.008853583806954978,0.0008981859171736875,0.037402526751387256,0.048,0.05742079650702001,0.687002344113593,Engineered Features,0.04760777441946909,4,3,2,4,False,False,signal
totmrc_Mean,2507.646236228943,100.75265733027669,62.6,3.646916505762094,0.008522623665850252,0.002386388902783044,0.03550943775864072,0.04173333333333333,0.055341640293075145,0.687002344113593,Original Features,0.0441948037950164,5,5,3,5,False,False,signal
avgqty,1637.913101196289,194.75747186008417,46.4,6.730527468185536,0.0060143538293268095,0.004022110901823449,0.023204239504083426,0.030933333333333334,0.03921367645037044,0.687002344113593,Original Features,0.031117083095929064,6,10,8,6,False,False,signal
mou_Mean,2391.171485900879,160.19867552113413,48.2,3.2710854467592245,0.002924970255924049,0.0013245666219342301,0.033853086086389775,0.03213333333333333,0.019027729621637582,0.687002344113593,Original Features,0.028338049680453562,7,7,6,11,False,False,signal
change_mou,1776.714602279663,210.5205312955897,48.8,3.5637059362410923,0.003251930073002566,0.0018674499362161404,0.02515572071083575,0.03253333333333334,0.02072835691105902,0.687002344113593,Original Features,0.02613913698507604,8,8,5,9,False,False,signal
crclscod,1539.9005968093873,120.84386777490047,48.0,4.527692569068709,0.0036897655376751937,0.002657190555366445,0.02181107924855542,0.032,0.023169189646063054,0.687002344113593,Original Features,0.025660089631539495,9,12,7,8,False,False,signal
change_mou_capped,1587.0580577850342,271.3145485189181,43.8,6.457553716385177,0.0031548555432989954,0.0027537882347370914,0.02246467429647391,0.029200000000000004,0.020775544717296816,0.687002344113593,Winsorized Features,0.024146739671256908,10,11,9,10,False,False,signal
