feature,missing_before,missing_after,indicator_created,imputation_strategy
rev_Mean,357,0,True,median
mou_Mean,357,0,True,median
totmrc_Mean,357,0,True,median
da_Mean,357,0,True,median
ovrmou_Mean,357,0,True,median
ovrrev_Mean,357,0,True,median
vceovr_Mean,357,0,True,median
datovr_Mean,357,0,True,median
roam_Mean,357,0,True,median
change_mou,891,0,True,median
change_rev,891,0,True,median
drop_vce_Mean,0,0,False,none
drop_dat_Mean,0,0,False,none
blck_vce_Mean,0,0,False,none
blck_dat_Mean,0,0,False,none
unan_vce_Mean,0,0,False,none
unan_dat_Mean,0,0,False,none
plcd_vce_Mean,0,0,False,none
plcd_dat_Mean,0,0,False,none
recv_vce_Mean,0,0,False,none
recv_sms_Mean,0,0,False,none
comp_vce_Mean,0,0,False,none
comp_dat_Mean,0,0,False,none
custcare_Mean,0,0,False,none
ccrndmou_Mean,0,0,False,none
cc_mou_Mean,0,0,False,none
inonemin_Mean,0,0,False,none
threeway_Mean,0,0,False,none
mou_cvce_Mean,0,0,False,none
mou_cdat_Mean,0,0,False,none
mou_rvce_Mean,0,0,False,none
owylis_vce_Mean,0,0,False,none
mouowylisv_Mean,0,0,False,none
iwylis_vce_Mean,0,0,False,none
mouiwylisv_Mean,0,0,False,none
peak_vce_Mean,0,0,False,none
peak_dat_Mean,0,0,False,none
mou_peav_Mean,0,0,False,none
mou_pead_Mean,0,0,False,none
opk_vce_Mean,0,0,False,none
opk_dat_Mean,0,0,False,none
mou_opkv_Mean,0,0,False,none
mou_opkd_Mean,0,0,False,none
drop_blk_Mean,0,0,False,none
attempt_Mean,0,0,False,none
complete_Mean,0,0,False,none
callfwdv_Mean,0,0,False,none
callwait_Mean,0,0,False,none
months,0,0,False,none
uniqsubs,0,0,False,none
actvsubs,0,0,False,none
new_cell,0,0,False,none
crclscod,0,0,False,none
asl_flag,0,0,False,none
totcalls,0,0,False,none
totmou,0,0,False,none
totrev,0,0,False,none
adjrev,0,0,False,none
adjmou,0,0,False,none
adjqty,0,0,False,none
avgrev,0,0,False,none
avgmou,0,0,False,none
avgqty,0,0,False,none
avg3mou,0,0,False,none
avg3qty,0,0,False,none
avg3rev,0,0,False,none
avg6mou,2839,0,True,median
avg6qty,2839,0,True,median
avg6rev,2839,0,True,median
prizm_social_one,7388,0,True,MISSING
area,40,0,True,MISSING
dualband,1,0,True,MISSING
refurb_new,1,0,True,MISSING
hnd_price,847,0,True,median
phones,1,0,True,median
models,1,0,True,median
hnd_webcap,10189,0,True,MISSING
truck,1732,0,True,median
rv,1732,0,True,median
ownrent,33706,0,True,MISSING
lor,30190,0,True,median
dwlltype,31909,0,True,MISSING
marital,1732,0,True,MISSING
adults,23019,0,True,median
infobase,22079,0,True,MISSING
income,25436,0,True,median
numbcars,49366,0,True,median
HHstatin,37923,0,True,MISSING
dwllsize,38308,0,True,MISSING
forgntvl,1732,0,True,median
ethnic,1732,0,True,MISSING
kid0_2,1732,0,True,MISSING
kid3_5,1732,0,True,MISSING
kid6_10,1732,0,True,MISSING
kid11_15,1732,0,True,MISSING
kid16_17,1732,0,True,MISSING
creditcd,1732,0,True,MISSING
eqpdays,1,0,True,median
