driver_type,rank,feature,mean_shap,mean_abs_shap
churn,1,months,0.018667668,0.12130894
churn,2,hnd_price,0.013767235,0.08416732
churn,3,avgmou_log,0.005406475,0.029251529
churn,4,months_log,0.0050298613,0.05907328
churn,5,actvsubs,0.0042162132,0.007629993
churn,6,totmrc_Mean,0.0033217145,0.05885354
churn,7,rev_Mean_log,0.0030077933,0.018381104
churn,8,adjrev_log,0.0022631555,0.017602166
churn,9,mou_Mean_log,0.0020218457,0.04964607
churn,10,lor,0.0017790063,0.055038873
retention,1,eqpdays,-0.01927724,0.13936876
retention,2,eqpdays_log,-0.01049192,0.10501642
retention,3,crclscod,-0.004769635,0.058884203
retention,4,uniqsubs,-0.003801003,0.048249464
retention,5,mou_cvce_Mean_log,-0.003648299,0.045071498
retention,6,change_mou_log,-0.002755886,0.055670578
retention,7,avgrev,-0.0026226607,0.021562176
retention,8,ovrmou_Mean_capped,-0.0026073752,0.021652928
retention,9,asl_flag,-0.0025643592,0.031859994
retention,10,refurb_new,-0.0021682882,0.020225037
