feature,mean_abs_shap,mean_shap,direction
eqpdays,0.13936876,-0.01927724,retention
months,0.12130894,0.018667668,churn
eqpdays_log,0.10501642,-0.01049192,retention
revenue_per_usage,0.098994724,-0.0007375667,retention
hnd_price,0.08416732,0.013767235,churn
months_log,0.05907328,0.0050298613,churn
crclscod,0.058884203,-0.004769635,retention
totmrc_Mean,0.05885354,0.0033217145,churn
change_mou,0.05817133,3.3872806e-05,churn
change_mou_log,0.055670578,-0.002755886,retention
lor,0.055038873,0.0017790063,churn
mou_Mean_log,0.04964607,0.0020218457,churn
trend_gap,0.048569217,0.00039687083,churn
uniqsubs,0.048249464,-0.003801003,retention
mou_cvce_Mean_log,0.045071498,-0.003648299,retention
totmrc_Mean_log,0.044735238,-0.0013656203,retention
drop_vce_Mean,0.04415415,0.0010064575,churn
avgqty,0.04048096,-0.00095176673,retention
area,0.032778766,-0.00012703771,retention
mouiwylisv_Mean,0.03186364,0.0005849666,churn
asl_flag,0.031859994,-0.0025643592,retention
usage_to_charge,0.030099032,0.00028556134,churn
ethnic,0.029577512,-0.0003048159,retention
avgmou_log,0.029251529,0.005406475,churn
change_mou_capped,0.026566029,-0.00040772144,retention
avgqty_log,0.026382597,-0.00010942784,retention
totcalls,0.024388716,0.0014740138,churn
hnd_webcap,0.023560708,-0.0018224079,retention
iwylis_vce_Mean,0.023502368,0.0009471601,churn
ovrmou_Mean_capped,0.021652928,-0.0026073752,retention
avgrev,0.021562176,-0.0026226607,retention
HHstatin_missing_ind,0.021344027,-0.0006488514,retention
ovrrev_Mean_log,0.02055126,-0.00026725364,retention
uniqsubs_log,0.020315088,-0.0012368351,retention
refurb_new,0.020225037,-0.0021682882,retention
dwllsize,0.020095231,2.4132787e-06,churn
drop_blk_Mean,0.019454362,0.0003119039,churn
change_rev,0.019343263,-0.0015791241,retention
rev_Mean_log,0.018381104,0.0030077933,churn
revenue_gap,0.017874915,0.0007072512,churn
adjrev_log,0.017602166,0.0022631555,churn
phones,0.017303944,-0.0010366128,retention
service_issue_score,0.017242465,0.0007600914,churn
vceovr_Mean,0.016911574,-0.0005476793,retention
avgrev_log,0.015788468,-0.0016676292,retention
change_rev_log,0.013877263,-0.00063917955,retention
vceovr_Mean_capped,0.013786619,0.0009491022,churn
HHstatin,0.013305562,-0.00035746963,retention
support_intensity,0.013022578,0.001452016,churn
change_mou_missing_ind,0.012618108,-0.0005827991,retention
change_rev_capped,0.011055562,0.00018713973,churn
drop_vce_Mean_log,0.010843577,-0.001454831,retention
roam_Mean,0.010450004,0.00012022463,churn
income,0.010400028,5.0792823e-06,churn
marital,0.0100900065,0.0008448545,churn
dwlltype,0.0076402854,-0.00013533913,retention
actvsubs,0.007629993,0.0042162132,churn
custcare_Mean,0.006242092,0.0009027488,churn
actvsubs_log,0.0056792754,0.0010181759,churn
change_rev_missing_ind,0.004124798,-0.00033823273,retention
dualband,0.0026149189,-0.0001520373,retention
